1,Building
2,Electrical
3,Mechanical
4,Security
5,Life Safety
6,BMS
7,IT Critical Load
8,Mixing Box
9,Man Trap
10,Access Control
11,Camera
12,Door Alarms
13,DVD
14,PPE
15,Wash Station
16,Arch Flash
17,Monitoring - Config
18,Monitoring - Fault
19,Rack Outage
